	logFC	AveExpr	t	P.Value	adj.P.Val	B
ENSG00000181523	1.34129602476475	4.02573017370579	8.85762544171576	2.87153520470257e-08	1.07667581500747e-05	9.24770278749986
ENSG00000070371	1.19116475563393	3.05652274622161	8.85596615327208	2.8800482485917e-08	1.07667581500747e-05	9.24485520607869
ENSG00000255629	1.10296881482531	0.994930369527875	8.82876514635996	3.02340663025145e-08	1.10325849433398e-05	9.19811942854737
ENSG00000057294	-2.24477683168791	2.18538894461403	-8.82865102304166	3.02402348105149e-08	1.10325849433398e-05	9.19792312799718
ENSG00000151136	2.22560836217708	3.38250886091097	8.81314663206449	3.10905484623389e-08	1.12077725950962e-05	9.17123747758554
ENSG00000088992	-2.2857044234646	3.40542716770728	-8.79969634850739	3.18483335371961e-08	1.13248109381872e-05	9.14806001282388
ENSG00000070808	-3.14889114439451	8.8345741411817	-8.78799361579379	3.25232763896038e-08	1.13248109381872e-05	9.12787328643377
ENSG00000169621	-1.0605317840227	0.280004885187554	-8.78775508910135	3.25371867382941e-08	1.13248109381872e-05	9.12746163807854
ENSG00000205922	11.8053428822697	-4.99426211357857	8.76242874588235	3.40499218196843e-08	1.17166554843393e-05	9.08370810424686
ENSG00000163930	-1.46121289429133	6.75715740233148	-8.73489325127495	3.5777810278211e-08	1.21728974498259e-05	9.03603581048971
ENSG00000258283	-3.84610953681459	2.76292705548686	-8.69480832049497	3.84577330231531e-08	1.29393179297122e-05	8.96644589278
ENSG00000006704	1.08007331253222	3.56918909175094	8.61022101337562	4.48200128601654e-08	1.49142286749304e-05	8.8188529412609
ENSG00000119866	-2.39424610630421	3.84610154139223	-8.60264745619784	4.54406337536945e-08	1.49563894640829e-05	8.80558878051795
ENSG00000164591	3.30570002405211	1.56796970638153	8.57586581595047	4.77078216299984e-08	1.54945158328893e-05	8.75861879532851
ENSG00000095752	2.69378807291597	0.189029430638512	8.57132615301919	4.81036236654955e-08	1.54945158328893e-05	8.7506469917448
